C0       N        idle    
45       1        87.71   
78       2        76.66   
111      3        71.37   
136      4        62.29   
161      5        56.52   
180      6        56.00   
197      7        53.82   
221      8        50.91   
237      9        47.69   
254      10       45.22   
265      11       43.10   
280      12       40.12   
290      13       35.99   
300      14       34.91   
304      15       34.97   
326      16       32.23   
349      17       29.00   
350      18       29.00   
373      19       24.40   
369      20       26.16   
373      21       21.51   
383      22       22.89   
385      23       19.92   
402      24       16.80   
433      25       12.36   
410      26       14.97   
447      27       9.36    
472      28       4.82    
448      29       8.75    
450      30       5.62    
462      31       3.01    
431      32       10.44   
491      33       2.01    
491      34       4.11    
489      35       2.31    
477      36       4.12    
501      37       0.60    
503      38       1.80    
484      39       0.50    
478      40       2.01    
499      41       0.60    
500      42       2.01    
478      43       0.60    
487      44       0.70    
491      45       0.30    
496      46       0.40    
494      47       0.50    
499      48       0.80    
498      49       0.60    
492      50       0.50 
